"setting","spec","estimand","truth","mean_est","bias","mc_variance","mc_sd","ci_level","ci_half_width","ci_lower_mean","ci_upper_mean","coverage"
1,"CGa","DE",0.0891186,0.0814326,-0.007686,0.00562088981687375,0.074972593771816,0.95,0.146943583620311,-0.0655109836203114,0.228376183620311,95.6
1,"CGa","IE",0.1947588,0.173154,-0.0216048,0.0636450226893787,0.252279651754514,0.95,0.494459031471154,-0.321305031471154,0.667613031471154,96
1,"CGa","ATE",0.2838774,0.2545866,-0.0292908,0.0832406860124649,0.288514620101764,0.95,0.565478264412712,-0.310891664412712,0.820064864412712,97.4
1,"CGb","DE",0.1788692,0.1829804,0.00411120000000001,0.0040589571301002,0.063709945299774,0.95,0.124869198244574,0.058111201755426,0.307849598244574,95.4
1,"CGb","IE",0.0614994,0.0463974,-0.015102,0.00107629235795591,0.0328068949758418,0.95,0.0643003325972379,-0.0179029325972379,0.110697732597238,92.8
1,"CGb","ATE",0.2403686,0.2293778,-0.0109908,0.00483751535787575,0.069552249121619,0.95,0.136319903322131,0.0930578966778692,0.365697703322131,93.6
1,"CGc","DE",0.1777676,0.1723432,-0.0054244,0.00682056334044088,0.0825867019588558,0.95,0.161866961441301,0.0104762385586991,0.334210161441301,95.4
1,"CGc","IE",0.1152106,0.1103176,-0.00489299999999999,0.00356532818661323,0.0597103691716374,0.95,0.11703017308,-0.00671257308000002,0.22734777308,95.6
1,"CGc","ATE",0.2929782,0.2826608,-0.0103174,0.0131851801837275,0.11482673984629,0.95,0.225056274560878,0.0576045254391222,0.507717074560878,94.2
2,"CGa","DE",0.1777676,0.176464,-0.00130359999999999,0.00689064555511022,0.0830099123906912,0.95,0.16269643864558,0.0137675613544202,0.33916043864558,96.6
2,"CGa","IE",0.1152106,0.075987,-0.0392236,0.0112336252214429,0.105988797622404,0.95,0.207734226104616,-0.131747226104616,0.283721226104616,92.4
2,"CGa","ATE",0.2929782,0.252451,-0.0405272,0.0206920091973948,0.143847173060143,0.95,0.281935278475781,-0.0294842784757809,0.534386278475781,95.2
2,"CGb","DE",0.1777676,0.2015686,0.023801,0.00654925574553106,0.0809274721311068,0.95,0.158614930736838,0.0429536692631618,0.360183530736838,94
2,"CGb","IE",0.1152106,0.0502458,-0.0649648,0.00199270228693387,0.0446396940730318,0.95,0.0874921926640284,-0.0372463926640284,0.137737992664028,66.4
2,"CGb","ATE",0.2929782,0.2518144,-0.0411638,0.00961537422108216,0.0980580145683267,0.95,0.192190176949424,0.0596242230505759,0.444004576949424,92.6
2,"CGc","DE",0.1777676,0.1723432,-0.0054244,0.00682056334044088,0.0825867019588558,0.95,0.161866961441301,0.0104762385586991,0.334210161441301,95.4
2,"CGc","IE",0.1152106,0.1103176,-0.00489299999999999,0.00356532818661323,0.0597103691716374,0.95,0.11703017308,-0.00671257308000002,0.22734777308,95.6
2,"CGc","ATE",0.2929782,0.2826608,-0.0103174,0.0131851801837275,0.11482673984629,0.95,0.225056274560878,0.0576045254391222,0.507717074560878,94.2
