"setting","spec","estimand","truth","mean_est","bias","absolute_bias","mc_variance","mc_sd","ci_level","ci_half_width","ci_lower_mean","ci_upper_mean","coverage"
1,"CGa","DE",0.0977866,0.096325,-0.00146160000000001,0.00146160000000001,0.00323638564629259,0.0568892401627284,0.95,0.111500861826797,-0.0151758618267971,0.207825861826797,94.8
1,"CGa","IE",0.3866604,0.255577,-0.1310834,0.1310834,0.025719975001002,0.160374483634405,0.95,0.314328211962642,-0.0587512119626418,0.569905211962642,87.2
1,"CGa","ATE",0.484447,0.351902,-0.132545,0.132545,0.0341569160681363,0.184815897768932,0.95,0.362232503397543,-0.0103305033975429,0.714134503397543,90.4
1,"CGb","DE",0.1717892,0.1713818,-0.000407400000000002,0.000407400000000002,0.00402740105086172,0.0634618078127445,0.95,0.124382857706782,0.0469989422932181,0.295764657706782,94.4
1,"CGb","IE",0.0959468,0.0691962,-0.0267506,0.0267506,0.00102659868292585,0.0320405786921187,0.95,0.0627983802803741,0.00639781971962586,0.131994580280374,86.4
1,"CGb","ATE",0.267736,0.240578,-0.027158,0.027158,0.00457141995591182,0.0676122766656457,0.95,0.132517627177424,0.108060372822576,0.373095627177424,93.4
1,"CGc","DE",0.1763302,0.1774608,0.00113060000000001,0.00113060000000001,0.00430920775887776,0.0656445562013923,0.95,0.128660965935844,0.0487998340641556,0.306121765935844,95.2
1,"CGc","IE",0.1130608,0.093088,-0.0199728,0.0199728,0.00138070807214429,0.0371578803505298,0.95,0.0728281072288869,0.0202598927711131,0.165916107228887,92
1,"CGc","ATE",0.289391,0.2705488,-0.0188422,0.0188422,0.00547997861579158,0.0740268776579938,0.95,0.145090014097621,0.125458785902379,0.415638814097621,95
2,"CGa","DE",0.1763302,0.1793488,0.00301860000000001,0.00301860000000001,0.00464827372601202,0.0681782496549451,0.95,0.133626913852673,0.0457218861473272,0.312975713852673,94.8
2,"CGa","IE",0.1130608,0.0605018,-0.052559,0.052559,0.00544541127931864,0.0737930300185501,0.95,0.144631681146441,-0.0841298811464413,0.205133481146441,88.6
2,"CGa","ATE",0.289391,0.2398506,-0.0495404,0.0495404,0.01007358767499,0.100367263960865,0.95,0.196716222590121,0.0431343774098794,0.436566822590121,89.8
2,"CGb","DE",0.1763302,0.1796244,0.0032942,0.0032942,0.00426057719903808,0.0652730970541315,0.95,0.127932919385485,0.0516914806145147,0.307557319385485,95.2
2,"CGb","IE",0.1130608,0.0725486,-0.0405122,0.0405122,0.00105048342488978,0.0324111620416452,0.95,0.0635247102987162,0.00902388970128382,0.136073310298716,76.4
2,"CGb","ATE",0.289391,0.252173,-0.037218,0.037218,0.00494917576252505,0.0703503785528198,0.95,0.137884208262286,0.114288791737714,0.390057208262286,92.6
2,"CGc","DE",0.1763302,0.1774608,0.00113060000000001,0.00113060000000001,0.00430920775887776,0.0656445562013923,0.95,0.128660965935844,0.0487998340641556,0.306121765935844,95.2
2,"CGc","IE",0.1130608,0.093088,-0.0199728,0.0199728,0.00138070807214429,0.0371578803505298,0.95,0.0728281072288869,0.0202598927711131,0.165916107228887,92
2,"CGc","ATE",0.289391,0.2705488,-0.0188422,0.0188422,0.00547997861579158,0.0740268776579938,0.95,0.145090014097621,0.125458785902379,0.415638814097621,95
